name,rating,priceLevel,numberOfReviews,address,rest_lat,rest_long,nearest_station_id,nearest_station_name,distance_to_station_km,distance_band
Bomba,4.5,$$ - $$$,457,"103 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.81045534546,144.969243083601,19843,Parliament,0.329,250–500 m
Cumulus Inc.,4.5,$$ - $$$,2123,"45 Flinders La, Melbourne, Victoria 3000 Australia",-37.814830782737,144.973078642494,19843,Parliament,0.42,250–500 m
Gingerboy,4.5,$$ - $$$,990,"27-29 Crossley St, Melbourne, Victoria 3000 Australia",-37.811230084771,144.970902868067,19843,Parliament,0.177,<=250 m
Grill Steak Seafood,4.5,$$ - $$$,1479,"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.813028422097,144.961075673327,19842,Melbourne Central,0.369,250–500 m
Milk the Cow,4.5,$$ - $$$,338,"U 1 157 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.858843653397,144.979460120657,19957,Windsor,1.147,>1000 m
Berth,4,$$ - $$$,568,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",-37.81510407469,144.941816071487,22180,Southern Cross,0.9,500–1000 m
Carlton Wine Room,4.5,$$ - $$$,205,"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",-37.79860425638,144.968593234647,19842,Melbourne Central,1.366,>1000 m
Mamasita,4,$$ - $$$,1307,"11 Collins St, Melbourne, Victoria 3000 Australia",-37.813710122282,144.973416014096,19843,Parliament,0.299,250–500 m
The Meatball and Wine Bar,4,$$ - $$$,699,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815681252543,144.970135923927,19854,Flinders Street,0.403,250–500 m
A Hereford Beefstouw,4.5,$$ - $$$,199,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.816073148426,144.971431514701,19854,Flinders Street,0.464,250–500 m
Cafe Rosco,4.5,$$ - $$$,232,"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.836278941406,144.97622998663,19959,South Yarra,1.435,>1000 m
BangPop,4,$$ - $$$,559,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",-37.82400498531,144.948477924312,22180,Southern Cross,0.722,500–1000 m
Caffe e Cucina,4,$$ - $$$,490,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",-37.840209006257,144.995257996486,19959,South Yarra,0.322,250–500 m
Melba Restaurant,4,$$$$,1306,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",-37.820454243487,144.965701729509,19854,Flinders Street,0.263,250–500 m
Chokolait Hub,4.5,$$ - $$$,410,"287 Lonsdale St Shop 342, Level 3, Emporium, Melbourne, Victoria 3000 Australia",-37.812085793266,144.963701807411,19842,Melbourne Central,0.258,250–500 m
Waterfront,4,$$$$,1525,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",-37.819853734885,144.966898576806,19854,Flinders Street,0.172,<=250 m
HQ's On William,4.5,$$ - $$$,306,"380 William St Radisson on Flagstaff Gardens, Melbourne, Victoria 3000 Australia",-37.810354636894,144.956037646605,19841,Flagstaff,0.184,<=250 m
Bottega,4,$$$$,405,"74 Bourke St, Melbourne, Victoria 3000 Australia",-37.811739997851,144.971027004053,19843,Parliament,0.182,<=250 m
Shanghai Street,4,$,595,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813121880318,144.962367492245,19842,Melbourne Central,0.355,250–500 m
Lupino Bistro and Bar,4.5,$$ - $$$,416,"41 Little Collins St, Melbourne, Victoria 3000 Australia",-37.812789998861,144.972392332262,19843,Parliament,0.198,<=250 m
Mamak,4,$,514,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.812269776041,144.961583868117,19842,Melbourne Central,0.274,250–500 m
Donovans,4.5,$$$$,1022,"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",-37.866664010969,144.973989000998,19956,Balaclava,1.742,>1000 m
Brick Lane Melbourne,4.5,$$ - $$$,208,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",-37.811448056163,144.959846886322,19842,Melbourne Central,0.294,250–500 m
No35,4,$$$$,929,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",-37.813892847772,144.973029775998,19843,Parliament,0.316,250–500 m
La Camera Restaurant Southgate,4,$$ - $$$,1148,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",-37.821259325287,144.966516869593,19854,Flinders Street,0.331,250–500 m
Brother Baba Budan,4.5,$,440,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",-37.813548309642,144.962195244134,19842,Melbourne Central,0.403,250–500 m
Japanese Teppanyaki Inn,4.5,$$$$,219,"182 Collins St, Melbourne, Victoria 3000 Australia",-37.814973652277,144.967492606941,19854,Flinders Street,0.373,250–500 m
